region_nom,annee,population_totale,hommes,femmes,densite,taux_urbain,taux_croissance
Dakar,1976,,2018761,1985666,,,96.3
Dakar,1988,,2018761,1985666,,,96.5
Dakar,2002,,2018761,1985666,,,97.2
Dakar,2013,,2018761,1985666,,,96.4
Dakar,2023,4004426,2018761,1985666,7478,4004426,100
Diourbel,1976,,1029753,1050580,,,21
Diourbel,1988,,1029753,1050580,,,21.5
Diourbel,2002,,1029753,1050580,,,15.9
Diourbel,2013,,1029753,1050580,,,16.1
Diourbel,2023,2080333,1029753,1050580,428,1391336,66.9
Fatick,1976,,453863,453055,,,9
Fatick,1988,,453863,453055,,,10.6
Fatick,2002,,453863,453055,,,12.7
Fatick,2013,,453863,453055,,,16.1
Fatick,2023,906918,453863,453055,129,207002,22.8
Kaffrine,1976,,415885,404521,,,
Kaffrine,1988,,415885,404521,,,
Kaffrine,2002,,415885,404521,,,
Kaffrine,2013,,415885,404521,,,15.8
Kaffrine,2023,820405,415885,404521,74,125905,15.3
Kaolack,1976,,674912,661809,,,20.7
Kaolack,1988,,674912,661809,,,23
Kaolack,2002,,674912,661809,,,23.3
Kaolack,2013,,674912,661809,,,35.5
Kaolack,2023,1336720,674912,661809,252,510962,38.2
Kedougou,1976,,132256,112891,,,
Kedougou,1988,,132256,112891,,,
Kedougou,2002,,132256,112891,,,
Kedougou,2013,,132256,112891,,,25.7
Kedougou,2023,245147,132256,112891,15,76683,31.3
Kolda,1976,,467909,446889,,,8.4
Kolda,1988,,467909,446889,,,10.6
Kolda,2002,,467909,446889,,,13.5
Kolda,2013,,467909,446889,,,26
Kolda,2023,914798,467909,446889,67,330817,36.2
Louga,1976,,563944,561964,,,11.5
Louga,1988,,563944,561964,,,14.9
Louga,2002,,563944,561964,,,18.4
Louga,2013,,563944,561964,,,22
Louga,2023,1125908,563944,561964,44,303823,27
Matam,1976,,428108,403522,,,
Matam,1988,,428108,403522,,,
Matam,2002,,428108,403522,,,13.7
Matam,2013,,428108,403522,,,22.1
Matam,2023,831630,428108,403522,29,262270,31.5
Saint-Louis,1976,,610883,591558,,,23.4
Saint-Louis,1988,,610883,591558,,,27.1
Saint-Louis,2002,,610883,591558,,,36.7
Saint-Louis,2013,,610883,591558,,,45.7
Saint-Louis,2023,1202441,610883,591558,63,562310,46.8
Sedhiou,1976,,302582,286684,,,
Sedhiou,1988,,302582,286684,,,
Sedhiou,2002,,302582,286684,,,
Sedhiou,2013,,302582,286684,,,20
Sedhiou,2023,589266,302582,286684,80,131024,22.2
Tambacounda,1976,,504081,483071,,,13.9
Tambacounda,1988,,504081,483071,,,15.7
Tambacounda,2002,,504081,483071,,,16.9
Tambacounda,2013,,504081,483071,,,23.9
Tambacounda,2023,987152,504081,483071,23,260938,26.4
Thies,1976,,1256977,1206700,,,29
Thies,1988,,1256977,1206700,,,34
Thies,2002,,1256977,1206700,,,42.7
Thies,2013,,1256977,1206700,,,49
Thies,2023,2463677,1256977,1206700,374,1415612,57.5
Ziguinchor,1976,,318982,298585,,,29.7
Ziguinchor,1988,,318982,298585,,,33.7
Ziguinchor,2002,,318982,298585,,,46.9
Ziguinchor,2013,,318982,298585,,,46
Ziguinchor,2023,617567,318982,298585,84,339292,54.9
