region_nom,indicateur,annee,valeur
Dakar,taux_croissance,1976,96.3
Dakar,taux_croissance,1988,96.5
Dakar,taux_croissance,2002,97.2
Dakar,taux_croissance,2013,96.4
Dakar,taux_croissance,2023,100
Diourbel,taux_croissance,1976,21
Diourbel,taux_croissance,1988,21.5
Diourbel,taux_croissance,2002,15.9
Diourbel,taux_croissance,2013,16.1
Diourbel,taux_croissance,2023,66.9
Fatick,taux_croissance,1976,9
Fatick,taux_croissance,1988,10.6
Fatick,taux_croissance,2002,12.7
Fatick,taux_croissance,2013,16.1
Fatick,taux_croissance,2023,22.8
Kaffrine,taux_croissance,1976,
Kaffrine,taux_croissance,1988,
Kaffrine,taux_croissance,2002,
Kaffrine,taux_croissance,2013,15.8
Kaffrine,taux_croissance,2023,15.3
Kaolack,taux_croissance,1976,20.7
Kaolack,taux_croissance,1988,23
Kaolack,taux_croissance,2002,23.3
Kaolack,taux_croissance,2013,35.5
Kaolack,taux_croissance,2023,38.2
Kedougou,taux_croissance,1976,
Kedougou,taux_croissance,1988,
Kedougou,taux_croissance,2002,
Kedougou,taux_croissance,2013,25.7
Kedougou,taux_croissance,2023,31.3
Kolda,taux_croissance,1976,8.4
Kolda,taux_croissance,1988,10.6
Kolda,taux_croissance,2002,13.5
Kolda,taux_croissance,2013,26
Kolda,taux_croissance,2023,36.2
Louga,taux_croissance,1976,11.5
Louga,taux_croissance,1988,14.9
Louga,taux_croissance,2002,18.4
Louga,taux_croissance,2013,22
Louga,taux_croissance,2023,27
Matam,taux_croissance,1976,
Matam,taux_croissance,1988,
Matam,taux_croissance,2002,13.7
Matam,taux_croissance,2013,22.1
Matam,taux_croissance,2023,31.5
Saint-Louis,taux_croissance,1976,23.4
Saint-Louis,taux_croissance,1988,27.1
Saint-Louis,taux_croissance,2002,36.7
Saint-Louis,taux_croissance,2013,45.7
Saint-Louis,taux_croissance,2023,46.8
Sedhiou,taux_croissance,1976,
Sedhiou,taux_croissance,1988,
Sedhiou,taux_croissance,2002,
Sedhiou,taux_croissance,2013,20
Sedhiou,taux_croissance,2023,22.2
Tambacounda,taux_croissance,1976,13.9
Tambacounda,taux_croissance,1988,15.7
Tambacounda,taux_croissance,2002,16.9
Tambacounda,taux_croissance,2013,23.9
Tambacounda,taux_croissance,2023,26.4
Thies,taux_croissance,1976,29
Thies,taux_croissance,1988,34
Thies,taux_croissance,2002,42.7
Thies,taux_croissance,2013,49
Thies,taux_croissance,2023,57.5
Ziguinchor,taux_croissance,1976,29.7
Ziguinchor,taux_croissance,1988,33.7
Ziguinchor,taux_croissance,2002,46.9
Ziguinchor,taux_croissance,2013,46
Ziguinchor,taux_croissance,2023,54.9
